cell id,cell type,column id
720575940596125868,T5c,97
720575940599333574,Tm1,355
720575940599457990,T4b,247
720575940599459782,T5b,513
720575940599704006,T5a,331
720575940599729862,T5a,129
720575940599733446,T5b,571
720575940599755718,T4a,741
720575940599763910,T5b,741
720575940600071689,T5b,81
720575940600084489,Tm9,487
720575940600101641,T4a,487
720575940600124169,T5b,272
720575940600143369,T4a,662
720575940600150793,T5a,325
720575940600547529,T4a,727
720575940600782252,Mi9,342
720575940600850441,T4c,203
720575940600866569,T5d,662
720575940600934665,T4d,203
720575940601206499,T4b,356
720575940601598892,Mi9,441
720575940601672201,T4b,265
720575940602140862,T5b,667
720575940602398473,Tm3,276
720575940602401214,T3,401
720575940602497726,T5c,397
720575940602572768,T2a,598
720575940602577598,T5a,368
720575940602737598,T5a,48
720575940602790610,T5c,185
720575940602857696,L1,188
720575940602858464,T2a,not assigned
720575940602880736,Tm9,262
720575940602922976,T2,595
720575940602928608,T4c,587
720575940602943968,Mi4,205
720575940603042272,Mi1,1
720575940603200428,Mi1,2
720575940603268780,Tm2,416
720575940603295200,Mi9,19
720575940603314656,Tm2,491
720575940603327916,Mi1,3
720575940603333804,T2a,311
720575940603339232,T4c,not assigned
720575940603356896,T4d,354
720575940603365980,T5a,626
720575940603373916,T5a,175
720575940603383008,Tm3,317
720575940603384748,Tm4,1
720575940603391712,T4c,379
720575940603394272,T4c,748
720575940603435232,C2,754
720575940603472608,Mi9,338
720575940603491957,T4a,391
720575940603495648,Tm2,652
720575940603498357,T4d,219
720575940603498613,T4c,566
720575940603498869,T4b,312
720575940603526005,T4a,682
720575940603556981,T4d,268
720575940603557920,Tm9,312
720575940603563893,T4c,11
720575940603568757,T4a,268
720575940603707657,T2,2
720575940603714652,T5b,652
720575940603718316,L4,161
720575940603761836,T5a,239
720575940603767980,T3,730
720575940603797420,T4c,363
720575940603809452,Tm20,156
720575940603842476,T4d,83
720575940603873033,T5b,426
720575940603884512,Tm1,392
720575940603893280,Tm2,691
720575940603904496,T4c,351
720575940603915436,Tm20,549
720575940603923116,L5,77
720575940603934892,Tm4,637
720575940603935334,Mi1,4
720575940603940012,T5a,773
720575940603987390,L4,514
720575940604009062,Tm1,734
720575940604013926,T2a,242
720575940604038880,Tm2,50
720575940604076990,Tm3,560
720575940604080318,Tm9,416
720575940604084704,T5b,633
720575940604086496,L5,235
720575940604094240,Tm1,475
720575940604105137,T5b,209
720575940604142453,T4c,511
720575940604151008,Mi1,6
720575940604151520,Tm1,105
720575940604180140,T4b,671
720575940604183654,Tm2,143
720575940604191456,Mi1,7
720575940604209580,Mi4,550
720575940604213937,L4,284
720575940604218028,T2a,550
720575940604248032,T2,not assigned
720575940604255712,Mi1,8
720575940604307936,C3,213
720575940604323808,T5c,562
720575940604324320,T5c,522
720575940604336049,T2a,97
720575940604341280,Tm3,394
720575940604383776,T4a,651
720575940604391904,T3,not assigned
720575940604407072,Tm3,not assigned
720575940604411616,T5b,598
720575940604412896,T5c,548
720575940604413664,T5b,413
720575940604415148,T2a,37
720575940604427232,T5b,431
720575940604432864,T5a,558
720575940604435061,T4b,557
720575940604436720,T4d,142
720575940604457200,T5c,294
720575940604474982,T4a,663
720575940604476774,C3,127
720575940604487968,T5d,481
720575940604494694,Tm9,413
720575940604498022,Tm2,264
720575940604508332,Mi1,9
720575940604508960,T2a,468
720575940604511776,T5c,320
720575940604519014,T3,16
720575940604521440,C3,148
720575940604521952,T4c,311
720575940604529580,Tm20,774
720575940604541798,Tm1,70
720575940604544358,T5a,104
720575940604553150,Tm21,543
720575940604561510,Tm3,149
720575940604567486,T4d,544
720575940604584672,L5,361
720575940604585504,T2a,29
720575940604599654,L5,461
720575940604607678,Mi1,779
720575940604610225,T2,792
720575940604622453,T4c,328
720575940604627889,Tm4,777
720575940604635253,T4c,635
720575940604636021,T4c,109
720575940604636789,T4c,205
720575940604637045,T4d,109
720575940604640945,T4a,668
720575940604646368,T2,439
720575940604650464,C2,351
720575940604652512,T4d,653
720575940604658912,Tm4,594
720575940604668094,Tm9,334
720575940604679664,T4d,344
720575940604685740,Tm2,49
720575940604687532,Mi1,10
720575940604692070,Mi9,115
720575940604692704,C3,199
720575940604698633,Mi9,501
720575940604699120,T4b,351
720575940604699825,T4d,606
720575940604704940,T5d,739
720575940604711392,Tm20,744
720575940604712688,T4a,344
720575940604714929,Mi1,11
720575940604721376,Tm20,596
720575940604734641,Tm2,778
720575940604738737,T4d,636
720575940604741809,T3,not assigned
720575940604745456,T4a,351
720575940604747953,L1,135
720575940604774572,T5a,723
720575940604778156,T5b,617
720575940604782764,T5c,108
720575940604804798,T4c,555
720575940604805566,T4b,348
720575940604810208,Tm9,113
720575940604811692,T5b,763
720575940604812204,T4c,43
720575940604818092,T4b,80
720575940604818144,Tm4,209
720575940604825824,Tm21,473
720575940604828849,T4a,1
720575940604829152,Tm4,619
720575940604831456,T4a,190
720575940604835756,T4b,760
720575940604836012,T4a,39
720575940604837344,Tm20,459
720575940604839084,Tm1,713
720575940604867500,T2,148
720575940604872416,Tm9,697
720575940604875744,T5b,117
720575940604885350,Tm1,196
720575940604889568,L3,580
720575940604891680,Mi9,336
720575940604892640,Tm20,348
720575940604895148,Tm1,682
720575940604897248,Tm3,438
720575940604898662,T4c,326
720575940604900832,T5c,243
720575940604902921,T4d,317
720575940604908716,T2,188
720575940604910508,L2,591
720575940604923616,T3,752
720575940604941024,Mi4,526
720575940604946720,T4d,338
720575940604947657,Mi1,12
720575940604947680,L5,680
720575940604952544,T2a,686
720575940604958688,L5,581
720575940604960992,L4,342
720575940604964576,L5,175
720575940604968108,T3,55
720575940604973856,T3,not assigned
720575940604983398,T4c,202
720575940605002720,L5,213
720575940605005280,Mi4,425
720575940605017260,Tm9,41
720575940605026784,Tm20,126
720575940605028320,T2,735
720575940605029856,Mi1,13
720575940605032364,L1,231
720575940605034161,Tm9,752
720575940605051052,T5b,601
720575940605055660,T4a,333
720575940605072300,T3,67
720575940605074144,C2,342
720575940605077193,T2a,not assigned
720575940605084774,T5b,23
720575940605091104,L2,678
720575940605096550,T5b,224
720575940605097132,Tm2,251
720575940605103806,Tm3,752
720575940605106110,Mi4,116
720575940605111230,T3,531
720575940605116640,L4,421
720575940605128550,Tm9,254
720575940605128876,Tm21,277
720575940605135532,T4b,44
720575940605139116,T4c,153
720575940605142118,L5,512
720575940605147057,Tm2,410
720575940605152177,Tm1,84
720575940605153708,L1,728
720575940605157990,Tm3,375
720575940605162668,L2,128
720575940605169580,L2,173
720575940605174304,C3,198
720575940605174700,T5c,304
720575940605179360,R7,21
720575940605179849,Tm1,19
720575940605180844,T4c,181
720575940605181152,T4d,696
720575940605185964,Tm21,639
720575940605186225,Mi9,747
720575940605190624,C3,657
720575940605191340,Tm9,669
720575940605206752,T4c,not assigned
720575940605215665,Mi1,15
720575940605223340,Tm4,147
720575940605224416,L5,4
720575940605225900,Tm20,331
720575940605238705,T5b,615
720575940605240544,T1,490
720575940605241516,T4d,35
720575940605251756,Mi4,588
720575940605254880,L4,305
720575940605258668,Tm4,259
720575940605262880,Mi1,16
720575940605268140,L3,197
720575940605270816,T3,25
720575940605273772,L3,194
720575940605278636,Tm21,168
720575940605282848,L1,not assigned
720575940605293698,Tm20,210
720575940605304166,T5c,61
720575940605306726,T5b,317
720575940605310398,Tm3,600
720575940605315262,Tm2,663
720575940605324204,Tm1,753
720575940605328928,Mi4,475
720575940605330022,L1,646
720575940605332070,L5,34
720575940605332652,T2a,not assigned
720575940605334886,T5d,573
720575940605335910,T5c,649
720575940605336422,T5d,649
720575940605345410,L3,614
720575940605349804,Mi4,41
720575940605353062,T3,226
720575940605353760,L2,34
720575940605353905,T5b,164
720575940605364396,L2,209
720575940605371494,T5c,247
720575940605374910,T5a,45
720575940605376224,L1,654
720575940605378476,Mi4,710
720575940605384736,T5c,91
720575940605384992,T3,9
720575940605389484,L5,350
720575940605392160,T5a,718
720575940605394022,T5c,196
